artist_name,album_name,genre,label,review_date,reviewer,score
Tyler Friedman,YYY EP,Experimental,Arjunamusic,"April 15, 2016",Saby Reyes-Kulkarni,6.0
The Delfonics,Adrian Younge Presents the Delfonics,Pop/R&B,Wax Poetics,"March 13, 2013",Miles Raymer,7.5
YG,Stay Dangerous,Rap,Def Jam,"August 6, 2018",Jackson Howard,6.5
Hunx and His Punx,Too Young to Be in Love,Rock,Hardly Art,"March 29, 2011",Martin Douglas,7.2
Rudi Zygadlo,Tragicomedies,Not found,Planet Mu,"October 17, 2012",Ruth Saxelby,7.5
Arthur Russell,World of Echo,Experimental,Upside,"December 15, 2004",Cameron Macdonald,8.4
Detachment Kit,Of This Blood...,Rock,Frenchkiss,"June 13, 2004",Joe Tangari,7.3
Bats and Mice,Believe It Mammals,Not found,Lovitt,"May 2, 2002",Alison Fields,6.0
Julian Lynch,Mare,Rock,Olde English Spelling Bee,"June 28, 2010",Joe Colly,8.5
R.A.P. Ferreira,Purple Moonlight Pages,Rap,Ruby Yacht,"March 13, 2020",Stephen Kearse,7.7
Brave Irene,Brave Irene EP,Rock,Slumberland,"May 26, 2011",Larry Fitzmaurice,7.1
No artist found,No album name found,Electronic / Experimental,Not found,"January 7, 2010",Mike Powell,8.0
Steve Gunn,Nakama,Folk/Country,Matador,"February 3, 2022",Brian Howe,7.2
Michael Jackson,Dangerous,Pop/R&B,Epic,"August 7, 2016",Jeff Weiss,8.6
Foxygen,Seeing Other People,Rock,‎Jagjaguwar‎,"April 27, 2019",Ian Cohen,5.0
Broken Social Scene,Hug of Thunder,Rock,Arts & Crafts / City Slang,"July 10, 2017",Ian Cohen,8.4
Shlohmo,Bad Vibes,Electronic,Friends of Friends,"August 11, 2011",Nate Patrin,7.8
Sonic Youth,Bad Moon Rising,Rock,Goofin’,"April 15, 2015",Zoe Camp,8.1
Total Control,Laughing at the System EP,Rock,Alter,"December 14, 2017",Jenn Pelly,8.0
Metal Fingers,Special Herbs Vol. 3-8,Not found,Shaman Work,"November 10, 2004",Jamin Warren,7.5
Tatsuya Yoshida,Erans,Experimental / Jazz,Tzadik,"March 17, 2004",Dominique Leone,8.0
Drive-By Truckers,"Ugly Buildings, Whores & Politicians: Greatest Hits 1998-2009",Rock,New West,"August 24, 2011",Stephen M. Deusner,8.2
No artist found,Good God! Aprocryphal Hymns,Not found,Numero Group,"July 17, 2013",Andy Beta,7.5
Young Buck,Buck the World,Rap,G-Unit,"April 3, 2007",No reviewer found,6.1
Naomi Punk,Television Man,Rock,Captured Tracks,"August 6, 2014",Mike Powell,7.9
Regina Spektor,Far,Rock,Sire,"June 23, 2009",Joshua Love,4.8
RAMZi,Pèze-Piton,Electronic,12th Isle,"January 29, 2018",Andy Beta,7.7
Wounded Lion,Wounded Lion,Electronic / Pop/R&B,In the Red,"May 17, 2010",Jason Crock,5.8
Christian Marclay,Graffiti Composition,Experimental / Rock,Dog W/A Bone,"October 11, 2010",Marc Masters,6.3
Angela Desveaux,The Mighty Ship,Folk/Country,Thrill Jockey,"September 25, 2008",Joshua Love,6.8
No artist found,There’s A Dream I’ve Been Saving: Lee Hazlewood Industries 1966–1971,Not found,Light in the Attic,"January 7, 2014",Jason Heller,7.8
Rising,To Solemn Ash,Not found,Exile On Mainstream,"January 27, 2012",Brandon Stosuy,7.6
Masami Akita,Satanstornade,Experimental,Warp,"February 7, 2003",No reviewer found,5.9
Telekinesis,12 Desperate Straight Lines,Rock,Merge,"February 16, 2011",Larry Fitzmaurice,6.6
